product_name,category,price,rating,review_count,product_url
A Light in the Attic,Books,Â£51.77,3/5 stars,N/A,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
Tipping the Velvet,Books,Â£53.74,1/5 stars,N/A,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
Soumission,Books,Â£50.10,1/5 stars,N/A,https://books.toscrape.com/catalogue/soumission_998/index.html
Sharp Objects,Books,Â£47.82,4/5 stars,N/A,https://books.toscrape.com/catalogue/sharp-objects_997/index.html
Sapiens: A Brief History of Humankind,Books,Â£54.23,5/5 stars,N/A,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html
The Requiem Red,Books,Â£22.65,1/5 stars,N/A,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html
The Dirty Little Secrets of Getting Your Dream Job,Books,Â£33.34,4/5 stars,N/A,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Books,Â£17.93,3/5 stars,N/A,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Books,Â£22.60,4/5 stars,N/A,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
The Black Maria,Books,Â£52.15,1/5 stars,N/A,https://books.toscrape.com/catalogue/the-black-maria_991/index.html
"Starving Hearts (Triangular Trade Trilogy, #1)",Books,Â£13.99,2/5 stars,N/A,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html
Shakespeare's Sonnets,Books,Â£20.66,4/5 stars,N/A,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html
Set Me Free,Books,Â£17.46,5/5 stars,N/A,https://books.toscrape.com/catalogue/set-me-free_988/index.html
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Books,Â£52.29,5/5 stars,N/A,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
Rip it Up and Start Again,Books,Â£35.02,5/5 stars,N/A,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Books,Â£57.25,3/5 stars,N/A,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
Olio,Books,Â£23.88,1/5 stars,N/A,https://books.toscrape.com/catalogue/olio_984/index.html
Mesaerion: The Best Science Fiction Stories 1800-1849,Books,Â£37.59,1/5 stars,N/A,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
Libertarianism for Beginners,Books,Â£51.33,2/5 stars,N/A,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html
